OBJECTID,CONDO_BK,CONDO_PG,BK_PG,DOC_DATE,SQUARE,SUFFIX,REC_LOT,O_LOTS,TAX_LOT,MAT_SSL,MISC,REGIME,REGIME_ID
3842,30,13,30/13,1982-05-14T00:00:00.000Z,0154,,0042,,,0154    0042,,2118,737
3203,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7007,7008,7012,7013",,0515    7009,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3527,32,24,32/24,1983-09-28T00:00:00.000Z,4325,,0036,,0809,4325    0809,,3031,1410
3524,29,4,29/4,1981-12-07T00:00:00.000Z,4325,,0036,,0806,4325    0806,,3031,1410
3209,47,19,47/19,2003-04-16T00:00:00.000Z,2660,,0233,,0888,2660    0888,LCE only,1503,341
3523,30,41,30/41,1983-08-11T00:00:00.000Z,3180,,,,0828,3180    0828,,3016,1396
3212,44,29,44/29,2000-09-29T00:00:00.000Z,2662,,0026,,0823,2662    0823,Lot covers Record Lot 0026,1311,302
3205,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7007,7008,7009,7012",,0515    7013,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3525,31,14,31/14,1982-09-07T00:00:00.000Z,4325,,0036,,0808,4325    0808,,3031,1410
3521,29,34,29/34,1982-11-16T00:00:00.000Z,3180,,,,0825,3180    0825,,3016,1396
3208,46,8,46/8,2002-07-02T00:00:00.000Z,2660,,0233,,0886,2660    0886,,1503,341
3841,29,43,29/43,1982-05-19T00:00:00.000Z,0152,,0186,,,0152    0186,,2095,714
3529,54,8,54/8,2005-07-01T00:00:00.000Z,5084,,0291,,0819,5084    0291,Lot is covered by Tax Lot 0819,3069,1445
3202,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7007,7009,7012,7013",,0515    7008,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3204,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7007,7008,7009,7013",,0515    7012,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3528,37,42,37/42,,4325,,0045,,,4325    0045,,3031,1410
3522,33,24,33/24,1985-11-18T00:00:00.000Z,3180,,,,0827,3180    0827,,3016,1396
3201,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7008,7009,7012,7013",,0515    7007,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3211,66,30,66/30,2008-02-21T00:00:00.000Z,2662,,0116,"0117,0118,0119",0862,2662    0862,"Lot covers Record Lots 0116, 0117, 0118, 0119",1915,1876
3526,32,16,32/16,1983-09-28T00:00:00.000Z,4325,,0036,,0809,4325    0809,,3031,1410
2327,64,4,64/4,2007-08-15T00:00:00.000Z,5999,,0029,,,5999    0029,,1879,1631
2180,44,22,44/22,,0959,,0074,,,0959    0074,,2468,1069
2162,43,50,43/50,,0237,,0001,,,0237    0001,,2434,1048
2105,42,32,42/32,1996-02-23T00:00:00.000Z,4550,,0078,,,4550    0078,,2486,1079
2340,64,26,64/26,2007-09-04T00:00:00.000Z,0515,,0158,7000,0860,0515    0860,Part of Lot covered by Tax Lot 0860 & Air Lot 7000,2875,1578
2256,46,17,46/17,,3522,,0048,,,3522    0048,,1501,339
2225,45,31,45/31,,0243,,0024,,,0243    0024,,2538,1113
2565,38,37,38/37,,3499,,0006,,0815,3499    0815,,3020,1400
2481,50,16,50/16,2004-08-25T00:00:00.000Z,0209,,0104,,0928,0209    0928,,2636,1210
2052,37,54,37/54,,2661,,0045,,,2661    0045,,1236,233
2458,44,47,44/47,2003-06-20T00:00:00.000Z,0315,,0025,0806,0807,0315    0807,Lot is covered by Tax Lots 0806 & 0807,2578,1152
2355,65,7,65/7,2007-09-11T00:00:00.000Z,4111,E,0026,,,4111E   0026,,3146,1610
2529,67,18,67/18,2008-07-25T00:00:00.000Z,4051,,0015,,,4051    0015,,1950,2016
2479,46,34,46/34,2002-11-29T00:00:00.000Z,0281,,000B,"000C,000D,000E",0831,0281    0831,,2557,1131
2468,64,38,64/38,2007-09-19T00:00:00.000Z,3121,,0079,,,3121    0079,,1877,1633
2496,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0808,0809,0810,0811,0812,0814,0815,0816,0817,0818,0819,0820,0821,0822,0823,0824,0825",0813,2837    0813,,1664,501
2143,43,26,43/26,1998-02-13T00:00:00.000Z,0180,,0084,,,0180    0084,,2179,798
2141,43,22,43/22,1998-07-06T00:00:00.000Z,0157,,0113,,0865,0157    0113,,4019,1510
2149,43,33,43/33,1998-07-01T00:00:00.000Z,0242,,0095,,,0242    0095,,2479,1075
2232,45,38,45/38,,0193,,0149,,,0193    0149,,2531,1106
2535,68,39,68/39,2008-09-29T00:00:00.000Z,3565,,0050,0051,,3565    0050,,1967,2010
2561,37,34,37/34,1986-08-11T00:00:00.000Z,3499,,0006,,0810,3499    0810,,3020,1400
2438,65,19,65/19,2007-09-29T00:00:00.000Z,1096,,0044,"0045,0046,0047,0048",0836,1096    0837,Part of Lot is covered by Tax Lots 0836 & 0837,2878,1581
2405,65,5,65/5,2007-12-05T00:00:00.000Z,0281,,0053,,,0281    0053,,2885,1772
2402,65,16,65/16,2007-11-30T00:00:00.000Z,5811,,0070,,,5811    0070,,1901,1732
2418,65,36,65/36,2008-01-02T00:00:00.000Z,4541,,0125,,,4541    0125,,2891,1778
2215,45,20,45/20,,1734,,0009,,,1734    0009,,3045,1421
2336,64,17,64/17,2007-08-28T00:00:00.000Z,2665,,0017,,,2665    0017,,1874,1636
2006,36,56,36/56,,0096,,0041,,,0096    0041,,1049,47
2461,62,27,62/27,2007-03-30T00:00:00.000Z,2528,,0314,,0917,2528    0917,,1843,1667
2426,66,21,66/21,2008-01-17T00:00:00.000Z,5294,,0039,,,5294    0039,,1911,1742
2430,63,26,63/26,2008-01-24T00:00:00.000Z,2992,,0086,,,2992    0086,,3151,1799
2378,65,11,65/11,2007-09-28T00:00:00.000Z,3113,,0082,,,3113    0082,,1881,1629
2076,38,27,38/27,,0154,,0045,,,0154    0045,,2120,739
2067,38,11,38/11,,0151,,0057,,,0151    0057,,2088,707
2562,37,41,37/41,1983-12-14T00:00:00.000Z,3499,,0006,,0812,3499    0812,,3020,1400
2321,64,12,64/12,2007-08-09T00:00:00.000Z,0247,,0078,,,0247    0078,,3138,1602
2091,42,17,42/17,,0312,,0047,,,0312    0047,,2257,875
2526,67,18,67/18,2008-07-25T00:00:00.000Z,4051,,0011,,0800,4051    0800,,1950,2016
2216,45,21,45/21,,0211,,0049,,,0211    0049,,2532,1107
2463,61,23,61/23,2006-12-18T00:00:00.000Z,2595,,0189,0682,0837,2595    0837,Lot 0189 and part of Lot 0682 are covered by Tax Lot 0837,1795,1715
2213,45,18,45/18,,0211,,0048,,,0211    0048,,2523,1098
2048,37,50,37/50,,2549,,0634,,,2549    0634,,1157,154
2449,63,37,63/37,2007-06-19T00:00:00.000Z,3576,,0021,,,3576    0021,,1577,414
2290,63,21,63/21,2007-03-30T00:00:00.000Z,5753,,0089,,,5753    0089,,1852,1658
2885,51,26,51/26,2004-11-29T00:00:00.000Z,0455,,0050,"0841,7000",0840,0455    7000,Part of Lot is covered by Tax Lots 0840 & 0841 & Air Lot 7000,3075,1451
2254,46,14,46/14,,6095,,0033,,,6095    0033,,1502,340
2532,66,39,66/39,2008-03-24T00:00:00.000Z,3566,,0048,"0044,0045,0046,0047,0049",,3566    0048,,1936,1765
2118,42,47,42/47,,2553,,0056,,,2553    0056,,1181,178
2102,42,29,42/29,,5867,,0234,,,5867    0234,,1282,277
2055,37,57,37/57,,3519,,0071,,,3519    0071,,1255,251
2038,37,40,37/40,,5555,,0047,,,5555    0047,,1267,262
2113,42,41,42/41,,0914,,0057,,,0914    0057,,2339,956
2523,67,38,67/38,2008-06-24T00:00:00.000Z,3281,,0032,,,3281    0032,,3164,2007
2126,43,6,43/6,,0194,,0115,,,0194    0115,,2208,827
2883,46,10,46/10,2010-07-22T00:00:00.000Z,2560,,0125,7000,,2560    7000,,1493,331
2120,42,49,42/49,,2622,,0391,,,2622    0391,,1235,232
2186,44,30,44/30,2000-09-29T00:00:00.000Z,3587,,0006,,0817,3587    0817,Condos were killed by Tax lot 836 on 4/13/2018,1321,312
2273,49,23,49/23,,0210,,0131,,,0210    0131,,2595,1169
2167,44,7,44/7A,,0277,S,0012,,,0277S   0012,,2442,1051
2337,64,29,64/29,2007-09-04T00:00:00.000Z,2692,,0051,,,2692    0051,,1662,499
2279,48,3,48/3,2003-09-15T00:00:00.000Z,0517,,0050,0876,0875,0517    0875,,3053,1429
2191,44,37,44/37,,0210,,0051,,,0210    0051,,1475,313
2377,65,3,65/3,2007-09-28T00:00:00.000Z,3136,,0029,,,3136    0029,,3142,1606
2212,45,17,45/17,,3565,,0068,,,3565    0068,,1477,315
2505,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0808,0809,0810,0811,0812,0813,0814,0815,0816,0817,0818,0819,0820,0821,0823,0824,0825",0822,2837    0822,,1664,501
2240,45,50,45/50,2001-12-17T00:00:00.000Z,0967,,0021,,,0967    0813,,2547,1121
2472,48,12,48/12,2003-09-24T00:00:00.000Z,1098,,0160,,0825,1098    0825,,2582,1156
2124,43,3,43/3,,0110,,0036,,,0110    0036,,2036,655
2164,44,3,44/3,,0206,,0015,,,0206    0015,,2511,1088
2255,46,15,46/15,,2895,,0141,,,2895    0141,,1497,335
2041,37,47,37/47,,1921,,0010,,,1921    0010,,1074,71
2502,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0808,0809,0810,0811,0812,0813,0814,0815,0816,0817,0818,0820,0821,0822,0823,0824,0825",0819,2837    0819,,1664,501
2281,48,33,48/33,2003-11-17T00:00:00.000Z,2855,,0080,,,2855    0080,,1546,383
2419,66,10,66/10,2008-01-03T00:00:00.000Z,3511,,0015,,,3511    0015,,1899,1730
2230,45,35,45/35,,2860,,0056,,,2860    0056,,1487,325
2514,2,6,2/6,1974-07-17T00:00:00.000Z,5672,,0084,,,5672    0084,,1274,269
2434,65,17,65/17,2007-09-29T00:00:00.000Z,0519,,0044,,,0519    0044,,2877,1580
2035,37,37,37/37,1988-11-04T00:00:00.000Z,0242,,0092,,,0242    0092,,2478,1074
2492,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0808,0810,0811,0812,0813,0814,0815,0816,0817,0818,0819,0820,0821,0822,0823,0824,0825",0809,2837    0809,,1664,501
2093,42,19,42/19,,0312,,0049,,,0312    0049,,2257,875
2388,65,17,65/17,2007-09-29T00:00:00.000Z,0519,,0046,,,0519    0046,,2877,1580
2317,64,6,64/6,2007-07-16T00:00:00.000Z,2856,,0042,,,2856    0042,,1870,1640
2144,43,27,43/27,1997-11-25T00:00:00.000Z,0273,,0061,,,0273    0061,,2444,1053
2116,42,45,42/45,,5869,,0076,,,5869    0076,,1283,278
2259,46,20,46/20,,0302,,0076,,,0302    0076,,2548,1122
2082,42,6,42/6,,2549,,0635,,,2549    0635,,1316,307
2192,44,38,44/38,2000-12-15T00:00:00.000Z,0456,,0040,,0879,0456    0879,Part of Lot is covered by Tax Lot 0879,3040,1418
2253,46,13,46/13,,2675,,0298,,,2675    0298,,1496,334
2511,56,8,56/8,2006-02-15T00:00:00.000Z,5579,,0011,"0011,0032,0033,0034,0035",0809,5579    0809,Lot covered by Tax Lot 809,1692,529
2226,45,32,45/32,,0211,,0038,,,0211    0038,,2533,1108
2410,64,31,64/31,2007-12-14T00:00:00.000Z,5266,,0051,,,5266    0051,,3152,1800
2301,63,24,63/24,2007-06-06T00:00:00.000Z,0151,,0215,,,0151    0215,,2846,1549
2357,64,9,64/9,2007-09-12T00:00:00.000Z,3153,,0064,,,3153    0064,,3149,1613
2026,37,22,37/22,1988-04-21T00:00:00.000Z,1299,,0044,,1025,1299    1025,,1059,56
2292,63,28,63/28,2007-03-30T00:00:00.000Z,5753,,0088,,,5753    0088,,1851,1659
2387,65,12,65/12,2007-09-29T00:00:00.000Z,0615,,0241,,,0615    0241,,2869,1572
2346,63,42,63/42,2007-09-04T00:00:00.000Z,0397,,0032,,,0397    0032,,2859,1562
2237,45,45,45/45,,2665,,0027,,,2665    0027,,1494,332
2251,46,11,46/11,,0194,,0111,,,0194    0111,,2540,1115
2422,65,44,65/44,2008-01-03T00:00:00.000Z,4062,,0225,,,4062    0225,,1910,1741
2056,37,58,37/58,,2546,,0048,,,2546    0048,,1143,140
2428,66,6,66/6,2008-01-22T00:00:00.000Z,5584,,0119,,,5584    0119,,1914,1745
2482,46,42,46/42,2002-12-20T00:00:00.000Z,1096,,0066,"0810,0812,0814,0816,0818,0820,0822,0824",0808,1096    0808,,2563,1137
2341,64,23,64/23,2007-09-04T00:00:00.000Z,0528,,0031,,,0528    0031,,2871,1574
2261,46,25,46/25,,0134,,0166,,,0134    0166,,2552,1126
2484,46,42,46/42,2002-12-20T00:00:00.000Z,1096,,0067,"0808,0810,0814,0816,0818,0820,0822,0824",0812,1096    0812,,2563,1137
2550,,,,1955-12-29T00:00:00.000Z,2875,,0220,0156-of1,0986,2875    0986,,0026,1832
2543,66,33,66/33,,3566,,0048,0049,,3566    0048,,1936,1765
2072,38,22,38/22,1989-06-30T00:00:00.000Z,1282,,0249,,,1282    0249,,2404,1019
2491,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0809,0810,0811,0812,0813,0814,0815,0816,0817,0818,0819,0820,0821,0822,0823,0824,0825",0808,2837    0808,,1664,501
2092,42,18,42/18,,0312,,0048,,,0312    0048,,2257,875
2220,45,26,45/26,,4119,,0010,,,4119    0010,,3047,1423
2179,44,21,44/21,,5889,,0037,,,5889    0037,,1310,301
2129,43,9,43/9,,5889,,0047,,,5889    0047,,1290,284
2094,42,20,42/20,,0312,,0050,,,0312    0050,,2257,875
2371,64,32,64/32,2007-09-27T00:00:00.000Z,2836,,0133,,,2836    0133,,1890,1620
2459,45,12,45/12,,0362,,0205,,,0362    0205,,2528,1103
2033,37,35,37/35,1988-07-11T00:00:00.000Z,2580,,0413,,,2580    0413,,1214,211
2011,37,3,37/3,,2681,,0683,,,2681    0683,,1243,240
2293,63,8,63/8,2007-05-01T00:00:00.000Z,5814,,0046,,,5814    0046,,1857,1653
2473,48,12,48/12,2003-09-24T00:00:00.000Z,1098,,0160,,0826,1098    0826,,2582,1156
2320,63,46,63/46,2007-08-07T00:00:00.000Z,2572,,0033,,,2572    0033,,1862,1648
2462,46,36,46/36,2002-12-05T00:00:00.000Z,2549,,0135,,0810,2549    0810,,1533,370
2312,63,35,63/35,2007-07-10T00:00:00.000Z,0491,,0034,,,0491    0034,,3139,1603
2282,58,31,58/31,2006-06-22T00:00:00.000Z,2885,,0114,,,2885    0114,,1743,578
2365,63,33,63/33,2007-09-20T00:00:00.000Z,0445,,0121,,,0445    0121,,2865,1568
2393,65,27,65/27,2007-10-26T00:00:00.000Z,5331,,0034,,,5331    0034,,1900,1731
2032,37,29,37/29,,2609,,0695,,,2609    0695,,4007,1498
2239,45,49,45/49,,5869,,0067,,,5869    0067,,1499,337
2440,65,19,65/19,2007-09-29T00:00:00.000Z,1096,,0044,"0045,0046,0047,0048",0837,1096    0836,Part of Lot is covered by Tax Lots 0836 & 0837,2878,1581
2534,67,10,67/10,2008-03-31T00:00:00.000Z,0514,,0050,"0048,0049",0827,0514    0050,Lot is covered by Tax Lot 0827,2906,1793
2086,42,12,42/12,,2860,,0035,,,2860    0035,,1248,244
2030,37,27,37/27,,0208,,0067,,,0208    0067,,2222,841
2516,51,3,51/3,2004-09-30T00:00:00.000Z,0457,,0042,7004,0878,0457    0878,Part of Lot is covered by Tax Lot 0878 & Air Lot 7004,3066,1442
2146,43,29,43/29,,2208,,0105,,,2208    0105,,1090,87
2131,43,11,43/11,1997-08-19T00:00:00.000Z,0778,,0041,0801,0800,0778    0800,,2298,915
2080,42,3,42/3,1980-03-14T00:00:00.000Z,2554,,0071,,,2554    0071,,1189,186
2018,37,11,37/11,,2683,,0240,,,2683    0240,,1244,241
2138,43,17,43/17,1997-10-14T00:00:00.000Z,0053,,0024,,,0053    0024,,1015,13
2423,66,20,66/20,2008-01-09T00:00:00.000Z,2857,,0052,,,2857    0052,,1909,1740
2366,64,16,64/16,2007-09-20T00:00:00.000Z,4070,,0085,,,4070    0085,,1884,1626
2409,66,4,66/4,2007-12-12T00:00:00.000Z,2906,,0090,,,2906    0090,,1902,1733
2177,44,21,44/21,,5889,,0035,,,5889    0035,,1310,301
2115,42,44,42/44,,5869,,0075,,,5869    0075,,1283,278
2385,64,49,64/49,2007-09-29T00:00:00.000Z,2861,,0082,,,2861    0082,,1889,1621
2128,43,8,43/8,,0015,,0005,,,0015    0005,,2004,623
2549,,,,,2875,,0218,0219,0992,2875    0992,,0026,1832
2241,46,1,46/1,,2845,,0032,,,2845    0032,,1480,318
2391,63,38,63/38,2007-09-29T00:00:00.000Z,2898,,0033,,,2898    0033,,1895,1615
2207,45,15,45/15,,2665,,0028,,,2665    0028,,1484,1999
2351,64,19,64/19,2007-09-11T00:00:00.000Z,0445,,0126,,,0445    0126,,2861,1564
2024,37,18,37/18,,0177,,0062,,,0177    0062,,2165,784
2425,66,12,66/12,2008-01-14T00:00:00.000Z,3112,,0013,,,3112    0013,,1905,1736
2101,42,29,42/29,,5867,,0233,,,5867    0233,,1282,277
2436,63,12,63/12,2007-08-21T00:00:00.000Z,1045,,0138,"7000,7001,7004,7005,7006,7007,7009,0842,0843,0845",0844,1045    0844,"Tax Lots 0842 - 0845 & Air Lots 7000, 7001, 7004 - 7007, 7009 - *AMENDED 9/17/2007",2860,1563
2071,38,20,38/20,,0132,,0174,,,0132    0174,,2051,670
2074,38,24,38/24,,0280,,0031,,,0280    0031,,2642,1216
2175,44,19,44/19,,0275,,0056,,,0275    0056,,2458,1063
2136,43,15,43/15,,0194,,0005,,,0194    0005,,2209,828
2363,64,48,64/48,2007-09-20T00:00:00.000Z,3674,,0013,"0012,0014",,3674    0013,,3147,1611
2027,37,23,37/23,1988-04-28T00:00:00.000Z,0181,,0165,,0871,0181    0165,,2180,799
2314,63,7,63/7,2007-07-16T00:00:00.000Z,3091,,0043,,,3091    0043,,1866,1644
2399,65,6,65/6,2007-11-15T00:00:00.000Z,0829,,0012,,,0829    0012,,2888,1775
2495,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0808,0809,0810,0811,0813,0814,0815,0816,0817,0818,0819,0820,0821,0822,0823,0824,0825",0812,2837    0812,,1664,501
2318,63,47,63/47,2007-07-17T00:00:00.000Z,1030,,0085,,,1030    0085,,2855,1558
2028,37,25,37/25,1988-05-06T00:00:00.000Z,0014,,0072,,,0014    0072,,1007,6
2524,65,39,65/39,2008-07-02T00:00:00.000Z,0829,,0035,,0815,0829    0815,Lot covered by Tax Lots 0815,2920,1856
2210,45,16,45/16,2001-08-02T00:00:00.000Z,2582,,0073,0074,0825,2582    0825,,1479,317
2891,66,47,66/47,2008-02-28T00:00:00.000Z,0515,,0158,"0863,7004,7005,7006,7011",0864,0515    7006,"Part of Lot is covered by Tax Lots 0863 & 0864 & Air Lots 7004, 7005, 7006, 7011",2898,1785
2280,48,3,48/3,2003-09-15T00:00:00.000Z,0517,,0050,0875,0876,0517    0876,,3053,1429
2344,64,14,64/14,2007-09-04T00:00:00.000Z,4053,,0044,,,4053    0044,,1894,1616
2262,46,26,46/26,,2848,,0046,,,2848    0046,,1509,346
2134,43,13,43/13,,0156,,0269,,,0156    0269,,2149,768
2155,43,42,43/42,1999-04-16T00:00:00.000Z,0193,,0013,,,0193    0013,,2202,821
2376,65,1,65/1,2007-09-28T00:00:00.000Z,3136,,0081,,,3136    0081,,3144,1608
2012,37,4,37/4,,4325,,0045,,,4325    0045,,3031,1410
2384,65,20,65/20,2007-09-29T00:00:00.000Z,2865,,0083,,,2865    0083,,1882,1628
2506,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0808,0809,0810,0811,0812,0813,0814,0815,0816,0817,0818,0819,0820,0821,0822,0824,0825",0823,2837    0823,,1664,501
2339,64,33,64/33,2007-09-04T00:00:00.000Z,2069,,0049,,,2069    0049,,1887,1623
2059,38,2,38/2,,0205,,0068,,,0205    0068,,2216,835
2054,37,56,37/56,,0819,,0021,,,0819    0021,,2315,932
2021,37,14,37/14,,1874,,0062,,,1874    0062,,3010,1390
2284,58,26,58/26,2006-05-31T00:00:00.000Z,5611,,0027,,,5611    0027,,1730,565
2289,63,20,63/20,2007-03-30T00:00:00.000Z,5753,,0090,,,5753    0090,,1853,1657
2429,66,7,66/7,2008-01-22T00:00:00.000Z,2623,,0763,,,2623    0763,,1907,1738
2108,42,36,42/36,,2556,,0025,,,2556    0025,,1200,197
2412,66,8,66/8,2007-12-14T00:00:00.000Z,2853,,0207,,,2853    0207,,1908,1739
2084,42,9,42/9,,0211,,0047,,,0211    0047,,2225,844
2023,37,16,37/16,,0152,,0178,,,0152    0178,,2100,719
2036,37,38,37/38,,0175,,0038,,,0175    0038,,2156,775
2503,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0808,0809,0810,0811,0812,0813,0814,0815,0816,0817,0818,0819,0821,0822,0823,0824,0825",0820,2837    0820,,1664,501
2053,37,55,37/55,1988-12-02T00:00:00.000Z,1230,,0124,,0824,1230    0824,,2393,1008
2886,50,29,50/29,2004-09-22T00:00:00.000Z,0457,,0042,7004,0878,0457    0878,Part of Lot is covered by Tax Lot 0878 & Air Lot 7004,3066,1442
2453,63,15,63/15,2007-05-08T00:00:00.000Z,4079,S,0054,0055,,4079S   0054,,1861,1649
2295,63,15,63/15,2007-05-08T00:00:00.000Z,4079,S,0055,0054,,4079S   0055,,1861,1649
2352,64,25,64/25,2007-09-11T00:00:00.000Z,0358,,0009,,,0358    0009,,2734,1308
2435,65,17,65/17,2007-09-29T00:00:00.000Z,0519,,0045,,,0519    0045,,2877,1580
2398,65,10,65/10,2007-11-06T00:00:00.000Z,2885,,0050,,,2885    0050,,1898,1729
2480,48,41,48/41,2003-12-12T00:00:00.000Z,0281,,000B,"000C,000D,000E",0832,0281    0832,AMENDED,2557,1131
2069,38,14,38/14,1989-05-10T00:00:00.000Z,3313,,0049,,,3313    0049,,3019,1399
2265,46,30,46/30,,0210,,0132,,,0210    0132,,2555,1129
2153,43,39,43/39,,0278,N,0001,,,0278N   0001,,2481,1077
2244,46,4,46/4,,5087,,0072,,,5087    0072,,3049,1425
2394,63,44,63/44,2007-09-29T00:00:00.000Z,0190,,0111,,,0190    0111,,2879,1582
2274,46,29,46/29,,0241,,0127,,,0241    0127,,2561,1135
2478,62,12,62/12,2007-09-20T00:00:00.000Z,0368,,0167,,,0368    0167,0017 changed to 0167,2873,1576
2494,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0808,0809,0810,0812,0813,0814,0815,0816,0817,0818,0819,0820,0821,0822,0823,0824,0825",0811,2837    0811,,1664,501
2022,37,15,37/15,,0206,,0218,,,0206    0218,,2508,1085
2235,45,43,45/43,,2660,,0228,,,2660    0228,,1485,323
2199,45,2,45/2,,2860,,0030,,,2860    0030,,1484,322
2095,42,21,42/21,,0312,,0007,,,0312    0007,,2257,875
2031,37,28,37/28,,0819,,0018,,,0819    0018,,2314,931
2470,62,41,62/41,2007-03-29T00:00:00.000Z,3638,,0017,0018,0803,3638    0803,,3131,1595
2445,64,34,64/34,2007-09-11T00:00:00.000Z,1367,,0069,0068,,1367    0069,,2863,1566
2089,42,15,42/15,,6239,,0077,,,6239    0077,,1295,289
2189,44,34,44/34,2000-11-08T00:00:00.000Z,3280,,0029,,,3280    0029,,3039,1417
2275,55,20,55/20,2006-03-29T00:00:00.000Z,0303,,0057,,,0303    0057,,2750,1324
2322,61,44,61/44,2007-08-14T00:00:00.000Z,4445,,0138,,,4445    0138,,1868,1642
2417,65,26,65/26,2008-01-02T00:00:00.000Z,0202,,0074,,,0202    0074,,2883,1770
2520,66,39,66/39,2008-03-24T00:00:00.000Z,3566,,0044,"0045,0046,0047,0048,0049",,3566    0044,,1936,1765
2890,66,47,66/47,2008-02-28T00:00:00.000Z,0515,,0158,"0864,7004,7005,7006,7011",0863,0515    7005,"Part of Lot is covered by Tax Lots 0863 & 0864 & Air Lots 7004, 7005, 7006, 7011",2898,1785
2557,31,11,31/11,1983-01-15T00:00:00.000Z,3499,,0006,,0803,3499    0803,,3020,1400
2068,38,13,38/13,1989-05-03T00:00:00.000Z,0752,,0032,,,0752    0032,Dead Condo Lots,0015,1821
2077,38,28,38/28,,0279,,0047,,,0279    0047,Killed by Tax Lot 814 on 10/27/2010,2251,869
2159,43,47,43/47,,0154,,0047,,,0154    0047,,2123,742
2316,63,50,63/50,2007-07-16T00:00:00.000Z,2853,,0206,,,2853    0206,,1864,1646
2315,63,40,63/40,2007-07-16T00:00:00.000Z,5797,,0120,,,5797    0120,,1869,1641
2114,42,42,42/42,,0241,,0124,,,0241    0124,,2237,855
2471,53,28,53/28,2005-05-19T00:00:00.000Z,2699,,0065,"0066,0067",0802,2699    0802,Lot is covered by Tax Lot 0802,3078,1453
2309,62,47,62/47,2007-07-05T00:00:00.000Z,1208,,0060,,,1208    0060,Part of Lot covered - INST. # AMENDED 7/10/2007,2389,1004
2545,67,10,67/10,2008-03-31T00:00:00.000Z,0514,,0048,"0049,0050",0827,0514    0827,Lot is covered by Tax Lot 0827,2906,1793
2016,37,9,37/9,,1072,S,0048,,,1072S   0048,,2376,992
2145,43,28,43/28,1998-04-28T00:00:00.000Z,0195,,0154,,,0195    0154,,2215,834
2548,,,,,2875,,0219,0218,0988,2875    0988,,0026,1832
2455,64,36,64/36,2007-09-28T00:00:00.000Z,5729,,0069,"0068,0070",,5729    0069,,1883,1627
2538,66,14,66/14,2008-02-06T00:00:00.000Z,0829,,0073,0072,,0829    0073,,2894,1781
2407,65,33,65/33,2007-12-06T00:00:00.000Z,2842,,0078,,,2842    0078,,1897,1728
2196,44,4,44/4,,2696,,0056,,,2696    0056,,1319,310
2513,2,6,2/6,1974-07-17T00:00:00.000Z,5672,,0083,,,5672    0083,,1274,269
2158,43,46,43/46,,0279,,0049,,,0279    0049,,2476,1073
2325,64,10,64/10,2007-08-14T00:00:00.000Z,0184,,0068,,,0184    0068,,1875,1635
2085,42,10,42/10,,0193,,0142,,,0193    0142,,2201,820
2408,66,1,66/1,2007-12-11T00:00:00.000Z,3562,,0002,,,3562    0002,,1922,2009
2469,37,17,37/17,,3637,,0100,,,3637    0100,,3021,1401
2217,45,22,45/22,,2665,,0033,,,2665    0033,,1484,1999
2554,,,AO73297,1983-03-01T00:00:00.000Z,2875,,0237,0801,0800,2875    0800,AO73297,0026,1832
2296,63,29,63/29,2007-05-16T00:00:00.000Z,5594,,0023,,,5594    0023,,1856,1654
2260,46,24,46/24,,0508,N,0014,,,0508N   0014,,2549,1123
2486,46,42,46/42,2002-12-20T00:00:00.000Z,1096,,0062,"0808,0810,0812,0814,0818,0820,0822,0824",0816,1096    0816,,2563,1137
2099,42,27,42/27,1995-12-05T00:00:00.000Z,2545,,0294,,0823,2545    0823,,1139,136
2171,44,14,44/14,,0191,,0007,,,0191    0007,,2530,1105
2416,65,18,65/18,2008-01-02T00:00:00.000Z,2861,,0053,,,2861    0053,,1904,1735
2276,48,8,48/8,2003-09-24T00:00:00.000Z,0341,,0073,,,0341    0073,,2589,1163
2029,37,26,37/26,,0514,,0085,,,0514    0085,,2278,896
